epoch,train_loss,val_loss,val_macro_f1
1,0.698489785194397,0.696381688117981,0.32167832167832167
2,0.697262704372406,0.6946415305137634,0.3431744312026002
3,0.6933364868164062,0.6935012936592102,0.5329052969502408
4,0.693027913570404,0.69305419921875,0.34459459459459457
5,0.6946044564247131,0.6928775310516357,0.34459459459459457
6,0.6929599046707153,0.692789614200592,0.34459459459459457
7,0.6917731165885925,0.692602813243866,0.34459459459459457
8,0.6918348073959351,0.6924477219581604,0.34459459459459457
9,0.6914831399917603,0.6923299431800842,0.34459459459459457
10,0.6919827461242676,0.6921539902687073,0.34459459459459457
11,0.6927618980407715,0.6919723749160767,0.34459459459459457
12,0.6923578977584839,0.6918306350708008,0.41294862772695284
13,0.6902253031730652,0.6916990280151367,0.42808172219936924
14,0.6897336840629578,0.6914917230606079,0.41294862772695284
15,0.6904069185256958,0.6912924647331238,0.34459459459459457
16,0.6901120543479919,0.691100001335144,0.34459459459459457
17,0.68863844871521,0.6909279823303223,0.34459459459459457
18,0.6890047192573547,0.690778374671936,0.3909817351598174
